Title;Type;Premiere;Genre;Watchtime
The American Barbecue Showdown;TV Show;2020;Reality-Show;33400000
La Piloto;TV Show;2017;Drama;33400000
The Witcher;TV Show;2019;Fantasy;33400000
The Crown;TV Show;2016;History;33300000
Outlander;TV Show;2014;Drama;33200000
Peaky Blinders;TV Show;2013;Drama;33200000
Shameless;TV Show;2011;Comedy;33100000
The Crown;TV Show;2016;History;33100000
S.W.A.T.;TV Show;2017;Crime;33000000
Shooter;TV Show;2016;Action;33000000
Through My Window;Movie;2022;Comedy;33000000
Gabby's Dollhouse;TV Show;2021;Animation;32900000
The Big Bang Theory;TV Show;2007;Comedy;32800000
Nevertheless;TV Show;2021;Drama;32800000
Good Girls;TV Show;2018;Comedy;32700000
The Bad Guys;Movie;2022;Animation;32700000
Orange Is the New Black;TV Show;2013;Drama;32600000
Outlander;TV Show;2014;Drama;32500000
Devil in Ohio;TV Show;2022;Crime;32400000
Jane the Virgin;TV Show;2014;Comedy;32400000
